bus_id,route_id,route_nm,route_ord,node_id,ars_id,node_nm,lngt,la
b023630,116900008,영등포01,35,118000157,19242,신길5동주민센터,126.905383,37.500959
b023631,100100259,5523,35,120000111,21213,난우중학교입구,126.920348,37.467392
b023632,100100103,701,35,101000114,2219,남대문시장앞.이회영활동터,126.9785804,37.56093942
b023633,100100406,9714,35,218000078,35633,행신동(중),126.8427721,37.61914819
b023634,107900003,성북02,35,107900152,8789,한성대입구사거리,127.0109053,37.58586144
b023635,100100257,5522A난곡,35,120000103,21205,난곡우체국사거리,126.915602,37.477188
b023636,100100286,5712,35,115000004,16004,등촌역.강서보건소,126.8675998,37.54941062
b023637,100100033,160,35,112000429,13046,충정로역,126.962471,37.55984298
b023638,100100085,600,35,100000380,1007,서울역사박물관.경희궁앞,126.97038,37.569135
b023639,100100046,270,35,105000016,6016,청량리역환승센타,127.0460771,37.58025088
b023640,100100052,302,35,123000011,24011,문정로데오거리입구,127.1214199,37.48821271
b023641,107000002,343,35,122000323,23430,국민은행압구정지점,127.02851,37.52327
b023642,100100339,7019,35,112000407,13028,홍제역.서대문세무서,126.9443653,37.58849083
b023643,104000009,111,35,110000266,11367,노원구민의전당,127.0664181,37.63939116
b023644,100100088,603,35,113000418,14064,이대역,126.944495,37.556652
b023645,117000002,N51,35,113000418,14064,이대역,126.944495,37.556652
b023646,100100412,6001,35,101000244,2679,충무로역.호텔피제이,126.9955605,37.56171802
b023647,100100053,303,35,123000579,24017,잠실역.롯데월드몰,127.1006716,37.5127262
b023648,100100009,104,35,101000053,2152,퇴계로3가.한옥마을.한국의집,126.99241,37.560902
b023649,100100340,7021,35,112000403,13038,서대문역,126.96583,37.56647453
b023650,100100346,7612,35,113000505,14096,홍대입구역(가상),126.9218644,37.55522606
b023651,100000016,N876,35,118000033,19118,김안과병원,126.9030257,37.52007107
b023652,100100280,5624,35,208000104,57017,만안초교,126.9150272,37.40675747
b023653,100100098,651,35,116000636,18151,디지털단지오거리.가산파출소,126.888329,37.479826
b023654,111000011,773,35,219000329,36716,백석역.고양종합터미널,126.7901025,37.64505255
b023655,100100170,1162,35,107000524,8351,파크빌라앞,127.005912,37.598225
